text	label
VOA60 Lingala 20 mai 2021	justice
Bureau d’âge etiami na Sénat kasi rapporteur adjoint ya Bureau définitif ya Thambwe Mwamba atiki mosala	politiki / politique
Tshisekedi alobeli bokoti ya mampinga ya Zambie na RDC (Vidéo)	bokengi / securite
CPI ekokata ya likambo ya Bosco Ntaganda le 8 juillet	rdc
VOA60 Lingala 9 février 2021	bokengi / securite
VOA60 Lingala 28 janvier 2021	politiki / politique
Mibu 20 wuto bitumba ya Rwanda na Ouganda na Kisangani	bokengi / securite
Tshisekedi azelami na masolo na Sassou na Oyo	politiki / politique
Mbulamatari ekangi libela ba mines mibale ya Katimituga mpo bikomi nkunda ya bato bazipamaki	bokengi / securite
Ba Léopards balaki bakosala makasi liboso ya ba Pharaons ya Egypte	rdc
Totala mpasi ya bavandi ya Goma baye bakimi na Sake	bokengi / securite
Sango ya le 4 juin 2019 na VOA Lingala	rdc
Coronavirus ezwi bakonzi baiike na mokili	bokolongono / santé / medecine
CCT ekebisi kotelemisa bato lokola parlement ezali kolekisa mobeko ya CENI mondimami na mbaso te	politiki / politique
Bayi LUCHA 10 bakangami na milulu ya kosenga ya kimya mpe kobengana MONUSCO	bokengi / securite
Police esengami kolakisa elongi ya bomoto ntango ONU efundi bozwami basi na makasi	rdc
Police ezali koluka bato baliya 260 millions $ ya ba fonctionnaires fictifs	justice
"Mwasi na mobali moko bakosambisama mpo na ko ""checkula"" ministre ya Brazzaville na Paris"	justice
DG ya autorité ya aviation civile azwi etumbu nsima na bokweisami ya ballon Google Loon	politiki / politique
Ilunga Ilunkamba apesi Tshisekedi mokanda ya botiki mosala	politiki / politique
Ne Muanda Nsemi akangami	bokengi / securite
TGI etindi Blattner kosamba na Tribunal de paix mpo asalaki nde abus de confinace	justice
Guterres apameli bobomi ya koleka bato 55 na Boga mpe Tchiabi (Ituri)	bokengi / securite
USA ebakisi $3M ya lisungi na DRC mpo na COVID19	bokolongono / santé / medecine
Trump akati mbongo USA epesamaka na OMS	bokolongono / santé / medecine
Tshisekedi, Sassou, Kagame, Lourenço na bakonzi basusu ya Afrika na bokutani ya Stochi (Russie)	rdc
VOA60 20 août 2020	bokengi / securite
Tshisekedi akutani na Jaynet Kabila na Corneille Nangaa	politiki / politique
Mukuna asengi tribunal mosusu esambisa ye na Tshibola	justice
VOA60 Lingala 26 août 2020	politiki / politique
FARDC ekebisi bilenge ya Beni mpo na kosimba minduki	rdc
Tshisekedi abeti piololo ya bobandi mosala ya laboratoire ya milona na Kalambo	rdc
VOA60 Lingala 21 août 2020	politiki / politique
Basimba minduki basalaki 53% ya mbeba mpe bayi mbulamatari 47% na mars (BCNUDH)	bokengi / securite
Parlement endimi kobakisa mikolo na état d’urgence sanitaire	politiki / politique
VOA60 Lingala 23 octobre 2020	politiki / politique
VOA60 Lingala 16 décembre 2020	politiki / politique
Egypte, Sudan na Ethiopie na masolo mpo matata ya barrage ya Nil na Kinshasa wuto le 3 kino le 5 avril	politiki / politique
VOA60 Lingala 22 février 2021	bokengi / securite
Ba Sénateurs ya Etats-Unis balobi boponi ya Sassou bokembisa bokonzi ya mabe na Congo	politiki / politique
Baye bazwaka etumbu ya mibu 20 mpo na liwa ya LD Kabila babimi boloko	justice
Commissaire ya PNC Kasongo alobi bokangami ya Gombe ezali kokoba	bokolongono / santé / medecine
VOA2X60 Lingala 31 juillet 2020	politiki / politique
"Fred Bauma (GEC): ""Etat de siège ezali te eyano ya malamu koleka mpe mikolo 30 mikokoka te"""	bokengi / securite
Likita lya kotala bolongwi bwa Mabunda na Assemblée nationale lisalami	politiki / politique
TGI etelemisi boponami ya Dieudonné Kasembo bo’ motambwisi ya FEC mpe ezongisi Yuma	justice
Eyano ya mampinga ya FARDC na bitumba ya ba ADF na Ituri	rdc
Basango ya le 12 avril 2019 na VOA Lingala	rdc
"Ba Léopards na ""Seleccion"" ya Espagne na finale ya tournoi ya Malaga"	rdc
VOA60 Lingala 1er juin 2021	politiki / politique
Etats-Unis epesaki 2,8 millions $ ya bisaleli na lopitalo motoba ya RDC	bokolongono / santé / medecine
LISPED esengi etumbu na nsima ya élimination ya ba Léopards U23	rdc
Mibu misato ya misala makasi mikatameli DG ya OVD na FONER	rdc
Katumbi akutani na Sama Lukonde mpe asengi bana mboka kosunga ye na bokambi mbulamatari	politiki / politique
Ba candidats babale ya FCC mpo ebonga ya mokambi ya Sénat	rdc
Matungulu akambi BAD na masolo na PM Ilunga mpo na kosunga mbulamatari	rdc
Balandi ya Muanda Nsemi bakitaki o’balalaba na Matadi	politiki / politique
VOA60 Lingala 21 mai 2020	bokolongono / santé / medecine
Tshisekedi abimisi Eddy Kapend na baye bakangama na liwa lya LD Kabila	justice
VOA60 Lingala 5 juin 2021	bokengi / securite
Lisakoli lya Etats-Unis lya ADF bo’ ISIS-DRC	bokengi / securite
VOA60 Lingala 8 octobre 2020	politiki / politique
Egypte, Sudan na Ethiopie bayokani te na matata mpo na barrage Renaissance na Nil	politiki / politique
CPI etiki etumbu ya mibu 30 ya boloko mpo na Ntaganda	justice
Bato batamboli mpo na kotelemela maloba ma Kagame na Bukavu	politiki / politique
Ministre wa Yambo ya kala N’Singa Udjuu awei	politiki / politique
Bolukiluki bozali kosalama na misolo Access Bank epesaki na basali ya APLC (Direcab a.i. ya Tshisekedi)	justice
SG Adjoint ya ONU asololi na Fayulu, Muzito na bayi FCC	politiki / politique
Chambre du commerce ezali kosala nzela mpo na boyei ya ba investisseurs américains	rdc
Joâo Lourenço azwi bokambi ya CIRGL na kolanda Sassou	politiki / politique
Ba FARDC bakangi ba ADF banei mpe balakisi minduki 130	rdc
Fayulu na Dymanique basengi Tshisekedi na Kabila bayambola	rdc
VOA60 Lingala 20 juillet 2020	politiki / politique
Elenge ya mibu libwa azwamaki na Ebola akufi na Uganda	rdc
Litatoli ya migrante moko ndenge akomaki na USA na nzela ya makolo (1e partie)	rdc
Ba Américains bazali kopona mokonzi ya mboka na bango [TOTALA]	politiki / politique
Nzoto etano esusu ezwami na parc ya Virunga nsima na bobomami ya ba ADF	rdc
Ba Congolais balakisi nkanda na Washingon mpo bobomami ya bandeko ba bango na monyele ya mboka	bokengi / securite
VOA60 11 novembre 2020	politiki / politique
Conseil ya sécurité epaleli bobomi ya ba civils mpe botelemeli Monusco	rdc
Tshisekedi, Thambwe, Mabunda na Ilunga basololi mpo na likambo ya Congrès	politiki / politique
Matanga ya mokolo moko mpo na likama na Lac Kivu na Kalehe	rdc
Koleka bato 46 bakufi na likama na mines na Kolwezi	rdc
Bokutani ya Sassou na Tshisekedi na Sotchi	rdc
SADC epesi Zambie mikolo sambo mpo na kolongwa na mabele ya RDC (mbulamatari)	bokengi / securite
Ba magistrats batelemisi misala	rdc
Isabel Dos Santos apemeli mbulatari na kokanga biloko bya ye na lokuta	justice
Police epanzaki balandi ba Kamerhe na Kinshasa	politiki / politique
Mpepo ekweyaki pene na Bukavu emonani na parc Kahuzi Biega (Gouv. Kasi)	bokengi / securite
VOA60 Lingala 1er mars 2021	politiki / politique
Bato babale bazuwami na Ebola na Mwenga, elobi bakonzi	rdc
Sango ya le 16 août 2019 na 16h TU na VOA Lingala	rdc
Kabila na matanga ya Mgr Tafunga na Lubumbashi	politiki / politique
Norbert Basengezi alobi mpo na nini atiki mosala	rdc
Litatoli lya moto azwaki nzoto ya ntoma Attanasio na Kibumba [TOTALA]	bokengi / securite
Motango ya bawei momati na 21 nsima na bokweyi ya mabile na Maniema	rdc
Bayi bokengi babuki bureau ya président ya Cour constitutionnelle	justice
UNC esengi Tshisekedi kozongisa misala mya bosembo na nzela	justice
Félix Tshisekedi na Lubumbashi	rdc
VOA60 Lingala 19 décembre 2020	politiki / politique
MONUSCO etindiki batomboki na Ituri	rdc
VOA60 Lingala 6 novembre 2020	politiki / politique
VOA60 Lingala 22 mai 2020	bokengi / securite
V-Min. ya Santé alimboli cadre RDC na bikolo nzinganzinga basali mpo na kobundisa Ebola	rdc
Assemblée nationale etie le 12 juin mpo na kopona moto akozwa esika ya Kabund ya 1er V-P	politiki / politique
DG ya Office des routes asimbami, ya FPI ayanoli na parquet	rdc
VOA60 Lingala 03 février 2021	politiki / politique
Sarkozy akatelami mibu misato ya boloko mpo na kaniaka na misolo mya Libye	justice
Nzoto ya nkondo Tshisekedi kala te na Kinshasa	rdc
Ba ADF bafundami na koboma lisusu bato 25 na Beni	bokengi / securite
Minganga balakisi denge nini kobatela minu malamu	bokolongono / santé / medecine
VOA60 Lingala 7août 2020	justice
Tshiskedi atie mikolo misato ya matanga mpo Magufuli na RDC wuto mardi	politiki / politique
Maire ya kala ya Brazzaville akatelami mibu 5 ya boloko mpo na kopengwisa misolo	justice
Ba victimes ya monyokoli baboyi nommination ya moko ya bakambi ya ANR pene na Tshisekedi	rdc
Bokangami na ndako bokozala lisusu te na Kinshasa	bokolongono / santé / medecine
CACH na FCC bayokani mpo na gouvernement ya bato 65	rdc
FCC elobi ekopesa maboko te na makambo makoki kozongisa maponami nsima	politiki / politique
Tshisekedi asololi na Guterres mpo na matata ya barrage ya Renaissance	politiki / politique
