text	label
Somaliland oo billaabeysa diiwaan-gelinta cod-bixiyayaasha	soomaaliya
ONLF oo Dowladda Itoobiya ku Eedeysay Qalalaasaha Jigjiga	afrika
Baarlamaanka Carabta oo looga Hadlay Somalia	wararka
Kenya: Baaqii Odinga oo u Muuqda inaan la Dhageysan	afrika
Almaas Elman oo xabad ay ku dishay gudaha xerada Xalane	soomaaliya
Faaqidaadda: Xiisadda doorashada Jubbaland	soomaaliya
Gambia: Shirka xuquuqda Aadamaha ee Africa	afrika
Qarax ka dhacay Masjid ku yaalla Kismaayo	wararka
Kaalinta Soomaalida Kanada ee Dalkaas oo Kor u Kacdey	caalamka
Garyaqaan Cabdulwaaxid Qalinle oo sharraxaya xukunkii Derek Chauvin	maraykanka
Mareykanka: Nin Qirtay Inuu Gubay Maqaayadda Jubba	maraykanka
C/weli: Al-Shabab Xoog ayaa lagu Saaray	wararka
Somalida iyo Xabsiyada Maraykanka Q-4aad	wararka
Erdogan iyo Trump oo Ku Kulmaya Washington	caalamka
Qaramada Midoobay oo Canbaaraysay Dilkii Marshaale	caalamka
Mourinho oo Man Utd Lasii Joogaya Ilaa 2020	bogga ciyaaraha
Norway: Wiil Loo Qabtay Dilka 14 Jir Soomaali ah	caalamka
Taliyaha Ciidamada Qalabka Sida ee Mareykanka oo is-karantiilay	maraykanka
Dagaal dad badan ay ku dhinteen oo ka dhacay Sool	soomaaliya
Warbixin: Arrimaha Saldhiga u ah Xagjirnimada	soomaaliya
Somaliland: Wargeyska Haatuf oo la fasaxay	soomaaliya
Farmaajo iyo Abiy Ahmed oo Addis ku Kulmay	soomaaliya
Mareykanka: Soomaali lagu soo oogay dacwado la xiriira Al-Shabaab	soomaaliya
Mucaradka Djibouti oo Diiday Natiijada Doorashada	afrika
Pompeo: Weli ma hayno caddeymaha dadkii dilay Khaashuqji	maraykanka
Arsenal oo dubatay PSG	bogga ciyaaraha
Arkadiusz Milik oo Afar Bilood Garoomada Ka Maqnaan Doona	bogga ciyaaraha
Manchester United oo Ceyrisey Mourinho	bogga ciyaaraha
Dhaqaalaha Kenya oo hoos udhac weyn uu ku yimid	afrika
Khayrre oo Maanta Tagey Garoonka Bali-doogle	soomaaliya
Liiska Xildhibaanada Lagu Soo Doortay Baydhaba	soomaaliya
Waa Sidee Xaaladda Magaalada Kismaayo?	soomaaliya
Nin lagu eedeeyey dil wadareed ka dhacay Muqdisho oo lagu qabtay Gaalkacyo	soomaaliya
Jordan oo Maxbuus Dhaafsaneysa Duuliye	caalamka
Ifo: Xaaladda Qaxootiga Naafada Ah	wararka
Wararkii ugu dambeeyey doorashada Koonfur Galbeed	soomaaliya
Qalinle: Baarlamaanka Sweden ayaan u Tartamayaa	wararka
Caweyska: Garta Ragga iyo Dumarka	wararka
Qarax khasaaro sababay oo ka dhacay Boosaaso	soomaaliya
Goorma ayaa tallaalka COVID-19 laga billaabayaa Mareykanka?	maraykanka
R/W Abdiweli oo ka Hadley Cudurka Ebola	afrika
Marxaladihii Arrimaha Bulshada	wararka
Roobab ka Da'ay Awdal, Banaadir, iyo Djibouti	soomaaliya
Heritage oo ka hadashay xaaladda dalka	soomaaliya
Hungary oo Taageero u Raadineysa Hakinta Qaxootiga	caalamka
Erdogan iyo Amir Tamim oo Kulmaya	soomaaliya
Barn. Ciyaaraha: Cabdalla Quuq	wararka
Muuse Biixi oo Ka Jawaabay Eedeymaya Mucaaradka	soomaaliya
QM: Burundi Waxa Ay Ku Dhowdahay Burbur	afrika
Qunsulka Jabuuti ee Washington oo geeriyooday	afrika
Kamala Harris oo Hartay Tartanka Doorashada Mareykanka	maraykanka
Muqdisho: Wasiirkii Amniga oo Dhintay	wararka
AMISOM oo Askar looga Dilay Muqdisho	wararka
Qareenka Qoyska C/risaaq Cartan oo la Hadlay VOA	soomaaliya
Muqdisho: Banaanbax Lagu Taageeray Go'aankii ICJ	soomaaliya
Wafdi caalami ah oo Shiinaha u tegaya baaritaan	caalamka
Sheekh Shariif oo ka hadlay muranka doorashada	soomaaliya
Jabuuti oo lacag ugu deeqday dhibanayaasha qaraxii Zoobe	soomaaliya
Muqdisho: Bajaajleyaal sababo amni dartood u shaqeeya habeenkii kaliya	soomaaliya
Kismayo: Ciidan la Sheegay inuu Gadooday	soomaaliya
China oo u yeertay safiirka Mareykanka	caalamka
Jigjiga: ONLF iyo ciidamada booliska oo la isku dhafay	afrika
Axmed Y. Yaasiin oo ka Falceliyey Hadalkii D. Rayaale Kaahin	wararka
Dagaal ka Dhacay Gobolka Bakool	wararka
